ep_data_name,ep_data_url,Season,Episode,ID
Take Me Out to the Ball Game,https://www.imdb.com/title/tt0698667/?ref_=ttep_ep1,2,1,0698667
The Awful Truth,https://www.imdb.com/title/tt0698669/?ref_=ttep_ep2,2,2,0698669
The Freak Show,https://www.imdb.com/title/tt0698680/?ref_=ttep_ep3,2,3,0698680
"They Shoot Single People, Don't They?",https://www.imdb.com/title/tt0698691/?ref_=ttep_ep4,2,4,0698691
Four Women and a Funeral,https://www.imdb.com/title/tt0698635/?ref_=ttep_ep5,2,5,0698635
The Cheating Curve,https://www.imdb.com/title/tt0698675/?ref_=ttep_ep6,2,6,0698675
The Chicken Dance,https://www.imdb.com/title/tt0698676/?ref_=ttep_ep7,2,7,0698676
"The Man, the Myth, the Viagra",https://www.imdb.com/title/tt0698684/?ref_=ttep_ep8,2,8,0698684
"Old Dogs, New Dicks",https://www.imdb.com/title/tt0698653/?ref_=ttep_ep9,2,9,0698653
The Caste System,https://www.imdb.com/title/tt0698673/?ref_=ttep_ep10,2,10,0698673
Evolution,https://www.imdb.com/title/tt0698633/?ref_=ttep_ep11,2,11,0698633
La Douleur Exquise!,https://www.imdb.com/title/tt0698645/?ref_=ttep_ep12,2,12,0698645
Games People Play,https://www.imdb.com/title/tt0698637/?ref_=ttep_ep13,2,13,0698637
The Fuck Buddy,https://www.imdb.com/title/tt0698681/?ref_=ttep_ep14,2,14,0698681
Shortcomings,https://www.imdb.com/title/tt0698665/?ref_=ttep_ep15,2,15,0698665
Was It Good for You?,https://www.imdb.com/title/tt0698698/?ref_=ttep_ep16,2,16,0698698
Twenty-Something Girls vs. Thirty-Something Women,https://www.imdb.com/title/tt0698695/?ref_=ttep_ep17,2,17,0698695
Ex and the City,https://www.imdb.com/title/tt0698634/?ref_=ttep_ep18,2,18,0698634
Sex and the City,https://www.imdb.com/title/tt0698663/?ref_=ttep_ep1,1,1,0698663
Models and Mortals,https://www.imdb.com/title/tt0698649/?ref_=ttep_ep2,1,2,0698649
Bay of Married Pigs,https://www.imdb.com/title/tt0698618/?ref_=ttep_ep3,1,3,0698618
Valley of the Twenty-Something Guys,https://www.imdb.com/title/tt0698697/?ref_=ttep_ep4,1,4,0698697
The Power of Female Sex,https://www.imdb.com/title/tt0698688/?ref_=ttep_ep5,1,5,0698688
Secret Sex,https://www.imdb.com/title/tt0698661/?ref_=ttep_ep6,1,6,0698661
The Monogamists,https://www.imdb.com/title/tt0698685/?ref_=ttep_ep7,1,7,0698685
Three's a Crowd,https://www.imdb.com/title/tt0698692/?ref_=ttep_ep8,1,8,0698692
The Turtle and the Hare,https://www.imdb.com/title/tt0698690/?ref_=ttep_ep9,1,9,0698690
The Baby Shower,https://www.imdb.com/title/tt0698670/?ref_=ttep_ep10,1,10,0698670
The Drought,https://www.imdb.com/title/tt0698679/?ref_=ttep_ep11,1,11,0698679
Oh Come All Ye Faithful,https://www.imdb.com/title/tt0698652/?ref_=ttep_ep12,1,12,0698652
