,Name,features,pca_dim,MSE,MAbsE,Explained_variance_score,R_squared
0,linear_reg,100,,1.6233864617991762,0.8313570498734197,-26.067094358916542,-28.038848339505712
1,linear_reg,600,,0.0751243494472747,0.22036878309464564,-0.2045532233863124,-0.28824168135834793
2,linear_reg,1100,,0.08249528177434766,0.22259001474883608,-0.5581215385593266,-0.6248061485218772
3,linear_reg,1600,,0.07131545408421011,0.21385180019733946,-0.16953425330522726,-0.22468254346218153
4,linear_reg,2100,,0.09259173532688872,0.2395937695143549,-0.42199878869087304,-0.5628073435353155
5,linear_reg,2600,,0.08970930170409679,0.23943331593780032,-0.41453233275181545,-0.5405417830740051
6,linear_reg,3100,,0.09307373946883814,0.23778683008572368,-0.6801177464226736,-0.7884170592060787
7,linear_reg,3600,,0.09018060746790701,0.2431984307247191,-0.4363852269174712,-0.4946068511680616
8,linear_reg,4100,,0.08454274269101382,0.23005673315808903,-0.4431692558648771,-0.5465647433774949
9,linear_reg,4600,,0.07586419955452677,0.21703468336911586,-0.2834585796487728,-0.42180789352635034
10,linear_reg,5100,,0.0809934125241844,0.22718425406665327,-0.3014949336227525,-0.41163691096316324
11,linear_reg,5600,,0.07911803704694553,0.22163509032836406,-0.3024020215060611,-0.3621987102352898
12,linear_reg,6100,,0.08425622531828797,0.23447610875151984,-0.4503918558011879,-0.5132477678531197
13,linear_reg,6600,,0.0779813510020754,0.22272300979565576,-0.28296134359874425,-0.3490713561885624
14,linear_reg,7100,,0.08060655648830364,0.22793880774653283,-0.2931484420838894,-0.36536153684872597
15,linear_reg,7600,,0.08960267288775063,0.23258950877708262,-0.5260841515796512,-0.6170840738427524
16,linear_reg,8100,,0.07751160584193237,0.2268019454133657,-0.4342157449631527,-0.5164298913579689
17,linear_reg,8600,,0.0861063416718732,0.2371168766175332,-0.4523420014885374,-0.5463123658526576
18,linear_reg,100,10,0.06396716429061425,0.20605295719425337,-0.026023417905079678,-0.06653852999496154
19,linear_reg,600,10,0.05628584624664046,0.19808072095257617,0.000749731609812443,-0.06391516643566356
20,linear_reg,1100,10,0.06008135557453863,0.2015125695573572,0.0006295676099450753,-0.06863018211135653
21,linear_reg,1600,10,0.0578204909199244,0.19395898712673446,-0.004588638802099626,-0.07420658660867745
22,linear_reg,2100,10,0.06358722628354534,0.20505012918609497,-0.0038814806299413084,-0.05708441809418585
23,linear_reg,2600,10,0.05672304691964832,0.19285528184649905,0.006785779602833208,-0.027837661465375658
24,linear_reg,3100,10,0.060598387943185394,0.19997107976960793,0.0013833928432007148,-0.05788322279276644
25,linear_reg,3600,10,0.061367029906049905,0.2019335102763236,-0.005257095313430443,-0.054647932281874714
26,linear_reg,4100,10,0.05747032017655525,0.19167151997396042,-0.005782071884755996,-0.11467887593739834
27,linear_reg,4600,10,0.06643134741137474,0.20604780678623422,0.0027694107249481015,-0.030474478149763846
28,linear_reg,5100,10,0.0620681837716345,0.20311278369934346,-0.012783779448780636,-0.08192779629419925
29,linear_reg,5600,10,0.06261283584735075,0.20116411492342237,0.01493096019576049,-0.028003891017414118
30,linear_reg,6100,10,0.061421789118008364,0.2046533902564131,0.008619165895808273,-0.0446608852261923
31,linear_reg,6600,10,0.0668430214012735,0.21139275756644094,-0.002148160617002376,-0.1011483166495754
32,linear_reg,7100,10,0.06008967303366562,0.20042375930220308,0.014756409697950602,-0.09320715478204247
33,linear_reg,7600,10,0.06325596963145327,0.20354319225904188,0.012888273047005632,-0.027927434384244797
34,linear_reg,8100,10,0.06571798585005903,0.20408959028665966,0.004906806011077935,-0.07892380428747404
35,linear_reg,8600,10,0.05862668986498881,0.19812818021519624,0.01495408912932097,-0.06272685363969333
36,linear_reg,100,20,0.06265759558920878,0.2059576516401418,-0.03966092571398399,-0.07484961530020257
